artist_key,playlist_key,playlist_priority
UCQHtALGjic9dZ7GjQxQ81UA,OLAK5uy_ktDpN3CaFt3aN1WL089y7UJBLmErqkhX0,1
UCQHtALGjic9dZ7GjQxQ81UA,OLAK5uy_nz4e2MYLkFipTd5fDxcoU6bqvujTxwISA,2
UCMiRlcwbNLMIUyaagMhaFaw,OLAK5uy_mlRtm-jqLTwQkrKVmWMM88d2JZ1Gk9Xow,1
UCDe08Fs0s0YKJuk5h45csAQ,3PPbVCuUYiAnWczsAQFHqR,1
3wdXgSpjbbU3tX9KasdxMh,3PPbVCuUYiAnWczsAQFHqR,1
UCDe08Fs0s0YKJuk5h45csAQ,3cN3mENkACWuRCDOuQUtfw,1
